name,dft_gibbs_free_energy_ev,dft_electronic_energy_ev,dft_entropy_ev,dft_enthalpy_ev,dft_dipole_moment_d,dft_homo_ev,dft_lumo_ev,dft_gap_ev,hf_gibbs_free_energy_ev,hf_electronic_energy_ev,hf_entropy_ev,hf_enthalpy_ev,hf_dipole_moment_d,hf_homo_ev,hf_lumo_ev,hf_gap_ev,mass_au
dimer_001857,-14897.7425474158,-14905.9531250441,1.671452625808,-14896.07109479,0.74297,-6.4309,0.242,6.6729,-14700.5427667412,-14710.4221678299,1.593890883932,-14698.9488758573,0.32764,-9.287,6.9436,16.2306,192.35
dimer_001862,-14898.0481591934,-14906.2630218009,1.664392628078,-14896.3837665653,0.40316,-6.1565,0.4726,6.6291,-14700.9256243364,-14710.7804674086,1.618015422716,-14699.3076089137,0.42343,-9.1034,7.1032,16.2066,192.35
dimer_001885,-14898.0804408936,-14906.2617766072,1.698928248502,-14896.3815126451,0.53538,-6.1383,0.4386,6.5769,-14700.9408053043,-14710.7541779309,1.6575688253,-14699.2832362069,0.38945,-9.1831,7.0606,16.2437,192.35
dimer_001889,-14963.0836585315,-14972.5919263288,1.710701260712,-14961.3729569987,0.39986,-8.2078,0.6941,8.9019,-14764.0536586852,-14775.4512490872,1.664644061414,-14762.3890146238,0.07046,-11.7766,13.7957,25.5723,196.38
dimer_001890,-16919.1518700836,-16927.3669699745,1.68026041176,-16917.4716096719,1.83398,-6.7149,0.8187,7.5336,-16702.2250078329,-16711.9750301433,1.656409075432,-16700.5685987574,2.53246,-10.1809,12.1131,22.294,200.32
dimer_001891,-16918.9873521362,-16927.2094020907,1.688568324294,-16917.2987838119,2.81012,-7.2403,0.3488,7.5891,-16701.9710642452,-16711.8305675419,1.61637212627,-16700.3546921189,4.20225,-9.9071,12.4561,22.3632,200.32
dimer_001892,-16918.8721172994,-16927.0555346852,1.70993444346,-16917.162182856,3.30506,-6.5002,0.673,7.1732,-16702.1029301454,-16711.8574194793,1.66373901025,-16700.4391911351,3.71641,-10.0747,12.0536,22.1283,200.32
dimer_001972,-16917.4177580392,-16925.5361559615,1.745111164468,-16915.6726468747,1.83067,-7.334,0.63,7.964,-16699.5719512999,-16709.2575993292,1.700016976616,-16697.8719343233,3.12836,-10.9431,12.3694,23.3125,200.32
dimer_001974,-14961.6306277318,-14971.0172311828,1.76954509687,-14959.861082635,0.16257,-7.6903,0.7112,8.4015,-14762.0095826718,-14773.2723639886,1.716896208036,-14760.2926867359,0.01121,-10.9658,13.205,24.1708,196.38
dimer_001975,-16917.7458763657,-16925.8751983046,1.717149818284,-16916.0287265474,1.7098,-6.6212,0.9098,7.531,-16700.2123087406,-16709.8715067449,1.69186743443,-16698.5204415782,2.97373,-9.9668,10.83,20.7968,200.32
dimer_001976,-16917.7779145239,-16925.9096876657,1.731221105338,-16916.0466936906,3.64576,-6.5883,0.4822,7.0705,-16699.8948572828,-16709.5932018793,1.684028374318,-16698.2108291806,3.63461,-10.2981,12.7861,23.0842,200.32
dimer_001977,-16917.0391258302,-16925.1213764009,1.756317907444,-16915.2828079228,2.09028,-6.68,0.6366,7.3166,-16699.8931092225,-16709.5736074944,1.673018641878,-16698.2200905806,0.95853,-10.1272,12.5486,22.6758,200.32
dimer_001979,-17789.7009130699,-17797.1468805629,1.73839348615,-17787.9625198559,3.30331,-5.7134,0.6151,6.3285,-17563.6688156932,-17572.5074408691,1.710178257604,-17561.9586377077,5.55123,-8.3882,11.6502,20.0384,202.30
dimer_001995,-14961.4046258981,-14970.7331596773,1.814181588974,-14959.5904443092,0.1579,-7.5131,0.8565,8.3696,-14760.836819496,-14771.9975670425,1.739446839444,-14759.0973726565,0.17265,-10.8446,11.0594,21.904,196.38
dimer_001997,-15834.3585324149,-15843.0975415534,1.756539680354,-15832.6019924625,1.08946,-6.2936,0.9332,7.2268,-15624.583816307,-15634.9693410001,1.705814093272,-15622.8780019416,1.40265,-9.3709,10.7314,20.1023,198.35
dimer_001998,-16917.0123566155,-16925.049820215,1.761822773664,-16915.2505338418,2.104,-6.4156,0.8699,7.2855,-16698.7507134248,-16708.2871988997,1.705547149438,-16697.0451662754,3.18344,-9.738,10.8143,20.5523,200.32
dimer_001999,-16917.4025917654,-16925.4785649382,1.763085654738,-16915.6395058385,3.18242,-7.1313,0.514,7.6453,-16698.601650192,-16708.1696353114,1.72120676591,-16696.880443426,3.58681,-10.6169,11.1573,21.7742,200.32
dimer_002001,-17790.4492741899,-17797.9623719346,1.689202349914,-17788.76007184,4.80107,-5.9977,0.2944,6.2921,-17562.3927321922,-17571.2399041966,1.654268898822,-17560.7384632933,6.44378,-9.0989,10.3539,19.4528,202.30
dimer_011149,-20547.5501529145,-20551.0586912368,1.602897313104,-20545.9472556014,6.63955,-6.6377,-1.9188,4.7189,-20293.3966693143,-20297.5575655768,1.544915806212,-20291.851753236,2.05352,-9.2543,3.7613,13.0156,216.20
dimer_002086,-14898.2104700242,-14906.5377701365,1.611707820196,-14896.598762204,0.44832,-6.204,0.4503,6.6543,-14701.0775708892,-14711.0627277234,1.55561315178,-14699.5219580095,0.40511,-9.0892,7.1096,16.1988,192.35
dimer_002096,-14897.9569084846,-14906.3179578079,1.587131300058,-14896.3697771846,0.33735,-6.5028,0.2866,6.7894,-14700.7803355968,-14710.7638910401,1.554031897326,-14699.2263034274,0.37273,-9.4387,6.8495,16.2882,192.35
dimer_002102,-14963.359957917,-14973.0090251171,1.61856264397,-14961.741395273,0.23364,-7.9394,0.7555,8.6949,-14764.2861526147,-14775.8357842652,1.57446657027,-14762.7116860444,0.02412,-11.3273,14.7056,26.0329,196.38
